S_orbital-H_Shaped,Pole_temporal,S_orbital_lateral
G_rectus,G_pariet_inf-Supramar,S_cingul-Marginalis
S_oc-temp_med_and_Lingual,S_cingul-Marginalis,Lat_Fis-post
G_cingul-Post-ventral,S_oc-temp_med_and_Lingual,G_temp_sup-Plan_polar
G_temporal_middle,G_cingul-Post-ventral,S_oc-temp_lat
S_temporal_inf,G_temporal_middle,S_postcentral
G_temp_sup-Lateral,S_front_sup,G_and_S_paracentral
G_temp_sup-Plan_polar,G_temp_sup-Plan_polar,G_temp_sup-G_T_transv
S_temporal_transverse,S_temporal_transverse,S_occipital_ant
G_and_S_transv_frontopol,G_temporal_inf,G_front_inf-Orbital
S_pericallosal,G_oc-temp_lat-fusifor,G_temporal_inf
G_Ins_lg_and_S_cent_ins,G_oc-temp_med-Parahip,S_circular_insula_inf
G_temporal_inf,S_circular_insula_inf,G_pariet_inf-Supramar
G_oc-temp_lat-fusifor,,S_collat_transv_post
G_oc-temp_med-Parahip,,S_temporal_inf
S_circular_insula_ant,,G_temp_sup-Lateral
,,S_intrapariet_and_P_trans
,,S_calcarine
,,G_temp_sup-Plan_tempo
,,G_front_inf-Opercular
,,S_oc-temp_med_and_Lingual
,,G_occipital_middle
,,G_oc-temp_med-Parahip
